sentence,pretrained_gpt2_ppl,finetuned_orig_tok_ppl,finetuned_custom_tok_ppl,pretrained_gpt2_top5,finetuned_orig_tok_top5,finetuned_custom_tok_top5
nenu ikkadiki vastunnanu,2016.87,87.19,8873.05,"k, , n, ,, j","k, v, n, mar, ","mariyu, telugu, e, yokka, er"
meeru ela unnaru,2816.4,111.5,3683.7,"el, ., ,, de, en","v, k, n, che, mar","mariyu, am, b, th, er"
nuvvu ela unnav,2887.41,481.16,3974.39,"o, ajo, ig, v, ar","u, am, aku, ak, ad","mariyu, am, e, ala, er"
okka nimisham agu,1387.35,242.08,3603.17,"k, ., n, ,, sh","k, n, v, mar, pr","mariyu, am, er, telugu, b"
naku Telugu vastundi,3038.52,290.83,14916.62,", ,, ., (, k","v, k, n, mar, tel","mariyu, telugu, yokka, e, a"
idi chala kashtanga undi,931.7,77.69,5986.26,"k, ch, n, ., ,","k, v, ch, mar, n","mariyu, e, am, alu, telugu"
mee peru enti,518.18,117.25,4813.93,",, per, ., qu, e","v, k, mar, che, n","mariyu, a, er, o, alu"
nenu intiki veltunna,12197.5,2061.61,9469.01,",, ., vel, (, ;","k, v, n, mar, pr","mariyu, am, e, ak, er"
manaku chala pani undi,1513.01,142.26,3730.57,"k, ,, ., p, n","v, k, ch, pr, n","mariyu, e, am, ir, is"
ikkade kurchoni matladamu,2137.27,697.88,6379.54,"k, ,, ., (, n","k, v, mar, n, pr","mariyu, telugu, er, ala, alu"
mee number ivvagalara,12319.65,1613.09,33341.79,"., ,, , (, -","k, n, v, mar, pr","mariyu, e, 2, er, ala"
adi evaru chepparu,9634.5,344.94,7823.8,"che, ,, ., k, (","k, v, n, mar, pr","mariyu, ak, a, am, e"
reyyi chala baagundi,1931.47,225.53,4659.26,",, ., (, k, n","k, v, ch, mar, n","mariyu, e, alu, am, an"
nenu maatladatam nerchukuntunna,2361.98,250.45,7929.4,"., ,, at, t, k","k, v, n, mar, pr","mariyu, telugu, alu, e, er"
mee inti address cheppandi,3972.04,237.51,23834.72,",, ., de, e, )","k, mar, v, che, n","mariyu, er, e, 2, a"
