word,gpt2,mgpt,codemixed,romanized_only
vastunnanu,"['v', 'ast', 'un', 'nan', 'u']","['v', 'ast', 'unn', 'anu']","['v', 'ast', 'unnanu']","['v', 'ast', 'unnanu']"
cheppadu,"['che', 'pp', 'ad', 'u']","['ch', 'epp', 'adu']","['chepp', 'adu']","['chepp', 'adu']"
andukey,"['and', 'u', 'key']","['and', 'uk', 'ey']","['and', 'uk', 'ey']","['and', 'uk', 'ey']"
ikkadiki,"['ikk', 'ad', 'iki']","['ikk', 'ad', 'iki']","['ikk', 'adiki']","['ikk', 'adiki']"
unnaru,"['unn', 'aru']","['unn', 'aru']",['unnaru'],['unnaru']
chestunnanu,"['chest', 'un', 'nan', 'u']","['ch', 'est', 'unn', 'anu']","['ch', 'est', 'unnanu']","['ch', 'est', 'unnanu']"
ledu,"['led', 'u']","['led', 'u']",['ledu'],['ledu']
meeru,"['me', 'er', 'u']","['meer', 'u']",['meeru'],['meeru']
nenu,"['nen', 'u']","['nen', 'u']",['nenu'],['nenu']
kavali,"['k', 'av', 'ali']","['k', 'av', 'ali']","['k', 'avali']","['k', 'avali']"
chudandi,"['ch', 'ud', 'andi']","['ch', 'ud', 'andi']","['ch', 'ud', 'andi']","['ch', 'ud', 'andi']"
pampinchu,"['p', 'amp', 'inch', 'u']","['p', 'amp', 'inch', 'u']","['p', 'amp', 'inchu']","['p', 'amp', 'inchu']"
thelusukuntanu,"['thel', 'us', 'uk', 'unt', 'anu']","['thel', 'us', 'uk', 'unt', 'anu']","['th', 'el', 'us', 'ukuntanu']","['th', 'el', 'us', 'ukuntanu']"
marchipoyanu,"['m', 'arch', 'ip', 'oy', 'anu']","['mar', 'ch', 'ip', 'oy', 'anu']","['m', 'arch', 'ipoy', 'anu']","['m', 'arch', 'ipoy', 'anu']"
cheppukovadam,"['che', 'pp', 'uk', 'ov', 'ad', 'am']","['ch', 'epp', 'uk', 'ov', 'ad', 'am']","['chepp', 'ukovadam']","['chepp', 'ukovadam']"
okkaసారి,"['ok', 'ka', 'à', '°', '¸', 'à', '°', '¾', 'à', '°', '°', 'à', '°', '¿']","['okka', 'à°¸', 'à°¾', 'à°°', 'à°¿']","['okka', 'à', '°', '¸', 'à', '°', '¾', 'à', '°', '°', 'à', '°', '¿']","['okka', 'à', '°', '¸', 'à', '°', '¾', 'à', '°', '°', 'à', '°', '¿']"
bayataki,"['bay', 'at', 'aki']","['bay', 'at', 'aki']","['b', 'ayat', 'aki']","['b', 'ayat', 'aki']"
pampinchanu,"['p', 'amp', 'in', 'chan', 'u']","['p', 'amp', 'inch', 'anu']","['p', 'amp', 'inchanu']","['p', 'amp', 'inchanu']"
tirigi,"['t', 'ir', 'igi']","['t', 'ir', 'igi']","['t', 'ir', 'igi']","['t', 'ir', 'igi']"
vellipoindi,"['vell', 'ip', 'o', 'ind', 'i']","['v', 'ell', 'ipo', 'indi']","['v', 'ell', 'ipoindi']","['v', 'ell', 'ipoindi']"
chestam,"['chest', 'am']","['ch', 'est', 'am']","['ch', 'est', 'am']","['ch', 'est', 'am']"
undadu,"['und', 'ad', 'u']","['und', 'adu']","['und', 'adu']","['und', 'adu']"
kashtanga,"['k', 'ash', 't', 'anga']","['k', 'ash', 't', 'anga']","['k', 'asht', 'anga']","['k', 'asht', 'anga']"
nerchukunna,"['ner', 'chuk', 'un', 'na']","['ner', 'ch', 'uk', 'un', 'na']","['ner', 'ch', 'ukunna']","['ner', 'ch', 'ukunna']"
matladataniki,"['mat', 'lad', 'atan', 'iki']","['mat', 'lad', 'atan', 'iki']","['m', 'at', 'lad', 'ataniki']","['m', 'at', 'lad', 'ataniki']"
